name,link
Alameda - contractor cornerstone,https://photos.app.goo.gl/u563BjuqZ1Hra5zw
Bruce Wolfe plaque,https://photos.app.goo.gl/YM7FXvxXEuGNhu1j
Chicago Board of Trade 1,https://photos.app.goo.gl/AwAsEvyDC2Pfoz3f
Chicago Board of Trade 2,https://photos.app.goo.gl/AwAsEvyDC2Pfoz3f
Chicago Board of Trade 3,https://photos.app.goo.gl/AwAsEvyDC2Pfoz3f
Connecticut gravestone,https://photos.app.goo.gl/eeYpQWW9HZoh6Jkj
Habitat for Humanity,https://photos.app.goo.gl/uPF88FFr4bcMt6V8
Hanna Winery,https://photos.app.goo.gl/jeqvCekZqta7EWPq
Hawaii Kai,https://photos.app.goo.gl/r35zq1nDjpz8x7c9
Helen and Morton Memorial Court,https://photos.app.goo.gl/FHDUeZyUc91Nsu9Y
Horowitz Stone / Louisville KY,https://photos.app.goo.gl/iv9DjPrdG2ihHraV
LA gravestone,https://photos.app.goo.gl/TY2oKPohRbWeW2xY
Oakland school garden plaque,https://photos.app.goo.gl/xt1RuE3gCSgPh4wE
One Swanton Road,https://photos.app.goo.gl/vtp69oYJvY3FGNp6
Palo Alto address numbers,https://photos.app.goo.gl/bm5KJqwh2SgoRuKX
Philip M. Roth gravestone San Rafael,https://photos.app.goo.gl/GdNQAzPqfYUarj5k
Rice family grave markers,https://photos.app.goo.gl/owpwpJ1qczUEMJxb
Russian Hill Bergruen residence,https://photos.app.goo.gl/6Bny3T1dEAwnhXmC
Salk Institute Adler Court,https://photos.app.goo.gl/XyvmRfyxmn4qkspa
Salk Institute Guenther Fountain,https://photos.app.goo.gl/QNiqiPVmzooiZZFQ
Scripps Research,https://photos.app.goo.gl/9jZm2oqPtJyQibp2
Sequoyah Heights Oakland,https://photos.app.goo.gl/RkkGYDNsTQKe7K6m
Shelby White and Leon Levy Fountain,https://photos.app.goo.gl/WbitRXJAfLtLkdkF
